,name,link
0,      Riad Shajara,https://www.tripadvisor.com/Hotel_Review-g293734-d23636654-Reviews-Riad_Shajara-Marrakech_Marrakech_Safi.html
1,      1. Sol Oasis Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d19656581-Reviews-Sol_Oasis_Marrakech-Marrakech_Marrakech_Safi.html
2,      2. Movenpick Hotel Mansour Eddahbi Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d302479-Reviews-Movenpick_Hotel_Mansour_Eddahbi_Marrakech-Marrakech_Marrakech_Safi.html
3,      3. La Maison Arabe,https://www.tripadvisor.com/Hotel_Review-g293734-d303075-Reviews-La_Maison_Arabe-Marrakech_Marrakech_Safi.html
4,      4. Aqua Mirage Marrakech Hotel Club,https://www.tripadvisor.com/Hotel_Review-g293734-d7856438-Reviews-Aqua_Mirage_Marrakech_Hotel_Club-Marrakech_Marrakech_Safi.html
5,      5. Aqua Fun Club Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d2177899-Reviews-Aqua_Fun_Club_Marrakech-Marrakech_Marrakech_Safi.html
6,      Riad El Zohar,https://www.tripadvisor.com/Hotel_Review-g293734-d585350-Reviews-Riad_El_Zohar-Marrakech_Marrakech_Safi.html
7,      6. Riad Dar Anika,https://www.tripadvisor.com/Hotel_Review-g293734-d609383-Reviews-Riad_Dar_Anika-Marrakech_Marrakech_Safi.html
8,      7. Iberostar Club Palmeraie Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d1053257-Reviews-Iberostar_Club_Palmeraie_Marrakech-Marrakech_Marrakech_Safi.html
9,      8. Riad Houdou,https://www.tripadvisor.com/Hotel_Review-g293734-d621179-Reviews-Riad_Houdou-Marrakech_Marrakech_Safi.html
10,      9. Valeria Dar Atlas Resort,https://www.tripadvisor.com/Hotel_Review-g293734-d1744061-Reviews-Valeria_Dar_Atlas_Resort-Marrakech_Marrakech_Safi.html
11,      10. Be Live Collection Marrakech Adults Only,https://www.tripadvisor.com/Hotel_Review-g293734-d12199882-Reviews-Be_Live_Collection_Marrakech_Adults_Only-Marrakech_Marrakech_Safi.html
12,      Riad Karmela Princesse,https://www.tripadvisor.com/Hotel_Review-g293734-d12145338-Reviews-Riad_Karmela_Princesse-Marrakech_Marrakech_Safi.html
13,      11. Andalla Riad & Spa,https://www.tripadvisor.com/Hotel_Review-g293734-d12219158-Reviews-Andalla_Riad_Spa-Marrakech_Marrakech_Safi.html
14,      12. Kenzi Rose Garden,https://www.tripadvisor.com/Hotel_Review-g293734-d304468-Reviews-Kenzi_Rose_Garden-Marrakech_Marrakech_Safi.html
